team,deficits,wins,draws,losses,points,points_per_deficit,season,games
Hannover 96,13,0,1,12,1,0.08,2018,Away Games
RB Leipzig,15,4,7,4,19,1.27,2019,All Games
TSG 1899 Hoffenheim,19,4,3,12,15,0.79,2019,All Games
Borussia Mönchengladbach,13,4,0,9,12,0.92,2019,All Games
Eintracht Frankfurt,23,2,6,15,12,0.52,2019,All Games
Bayern Munich,9,3,2,4,11,1.22,2019,All Games
Borussia Dortmund,12,3,2,7,11,0.92,2019,All Games
SC Freiburg,19,2,5,12,11,0.58,2019,All Games
Hertha BSC,22,2,5,15,11,0.5,2019,All Games
VfL Wolfsburg,19,1,7,11,10,0.53,2019,All Games
Bayer 04 Leverkusen,14,2,3,9,9,0.64,2019,All Games
1.FC Köln,23,2,3,18,9,0.39,2019,All Games
FC Augsburg,21,2,3,16,9,0.43,2019,All Games
Fortuna Düsseldorf,23,1,6,16,9,0.39,2019,All Games
FC Schalke 04,17,2,2,13,8,0.47,2019,All Games
1.FSV Mainz 05,22,2,1,19,7,0.32,2019,All Games
SC Paderborn 07,26,0,4,22,4,0.15,2019,All Games
SV Werder Bremen,22,0,3,19,3,0.14,2019,All Games
1.FC Union Berlin,19,0,2,17,2,0.11,2019,All Games
RB Leipzig,9,2,5,2,11,1.22,2019,Home Games
Borussia Mönchengladbach,6,3,0,3,9,1.5,2019,Home Games
TSG 1899 Hoffenheim,12,3,0,9,9,0.75,2019,Home Games
FC Augsburg,11,2,2,7,8,0.73,2019,Home Games
Bayern Munich,5,2,1,2,7,1.4,2019,Home Games
Eintracht Frankfurt,10,1,4,5,7,0.7,2019,Home Games
1.FSV Mainz 05,12,2,0,10,6,0.5,2019,Home Games
Borussia Dortmund,6,1,2,3,5,0.83,2019,Home Games
Bayer 04 Leverkusen,7,1,2,4,5,0.71,2019,Home Games
Fortuna Düsseldorf,10,1,2,7,5,0.5,2019,Home Games
VfL Wolfsburg,10,0,4,6,4,0.4,2019,Home Games
Hertha BSC,10,1,1,8,4,0.4,2019,Home Games
1.FC Köln,9,0,2,7,2,0.22,2019,Home Games
SC Paderborn 07,15,0,2,13,2,0.13,2019,Home Games
SC Freiburg,7,0,1,6,1,0.14,2019,Home Games
1.FC Union Berlin,7,0,1,6,1,0.14,2019,Home Games
FC Schalke 04,6,0,1,5,1,0.17,2019,Home Games
SV Werder Bremen,12,0,0,12,0,NA,2019,Home Games
SC Freiburg,12,2,4,6,10,0.83,2019,Away Games
RB Leipzig,6,2,2,2,8,1.33,2019,Away Games
Hertha BSC,12,1,4,7,7,0.58,2019,Away Games
FC Schalke 04,11,2,1,8,7,0.64,2019,Away Games
1.FC Köln,14,2,1,11,7,0.5,2019,Away Games
Borussia Dortmund,6,2,0,4,6,1,2019,Away Games
TSG 1899 Hoffenheim,7,1,3,3,6,0.86,2019,Away Games
VfL Wolfsburg,9,1,3,5,6,0.67,2019,Away Games
Eintracht Frankfurt,13,1,2,10,5,0.38,2019,Away Games
Bayern Munich,4,1,1,2,4,1,2019,Away Games
Bayer 04 Leverkusen,7,1,1,5,4,0.57,2019,Away Games
Fortuna Düsseldorf,13,0,4,9,4,0.31,2019,Away Games
