team_name,season_start_year,stat_group_name,stat_name,shots,goals,xG,against.shots,against.goals,against.xG,time
Eintracht Frankfurt,2016,timing,16-30,55,2,5.0765736838802695,46,4,5.946867942810059,NA
Eintracht Frankfurt,2016,timing,31-45,71,7,7.498555658385158,54,8,4.987063662149012,NA
Eintracht Frankfurt,2016,timing,46-60,61,7,7.4879740457981825,72,10,7.073905271477997,NA
Eintracht Frankfurt,2016,timing,61-75,61,4,8.188901633955538,59,8,8.014189217239618,NA
Eintracht Frankfurt,2016,timing,76+,81,12,11.062785471323878,68,7,8.241664535365999,NA
Eintracht Frankfurt,2016,shotZone,ownGoals,1,1,1,1,1,1,NA
Eintracht Frankfurt,2016,shotZone,shotOboxTotal,138,5,4.333156928885728,103,3,3.136507760733366,NA
Eintracht Frankfurt,2016,shotZone,shotPenaltyArea,224,20,30.51686259638518,217,34,28.03294138610363,NA
Eintracht Frankfurt,2016,shotZone,shotSixYardBox,21,10,9.683848720043898,23,5,7.475038878619671,NA
Eintracht Frankfurt,2016,attackSpeed,Normal,241,24,28.41111608175561,205,22,21.908908994868398,NA
Eintracht Frankfurt,2016,attackSpeed,Standard,108,8,12.205601543188095,106,13,10.975804479792714,NA
Eintracht Frankfurt,2016,attackSpeed,Slow,19,1,2.19015602953732,15,3,1.7786320010200143,NA
Eintracht Frankfurt,2016,attackSpeed,Fast,16,3,2.726994590833783,18,5,4.981142549775541,NA
Eintracht Frankfurt,2016,result,BlockedShot,88,0,5.192727302201092,74,0,4.112085517495871,NA
Eintracht Frankfurt,2016,result,SavedShot,87,0,10.88835940277204,80,0,9.41208268608898,NA
Eintracht Frankfurt,2016,result,MissedShots,168,0,14.887086861766875,140,0,11.340554972179234,NA
Eintracht Frankfurt,2016,result,Goal,36,36,14.1761435829103,43,43,13.432851485908031,NA
Eintracht Frankfurt,2016,result,ShotOnPost,5,0,0.3895510956645012,7,0,1.3469133637845516,NA
Eintracht Frankfurt,2015,situation,OpenPlay,255,24,26.661394409369677,306,37,40.88549299305305,NA
Eintracht Frankfurt,2015,situation,FromCorner,63,5,3.5236395858228207,53,5,4.587907919660211,NA
Eintracht Frankfurt,2015,situation,SetPiece,33,3,2.61022796202451,41,6,4.9483235366642475,NA
Eintracht Frankfurt,2015,situation,DirectFreekick,14,0,0.8388701006770134,23,1,1.4101797081530094,NA
Eintracht Frankfurt,2015,situation,Penalty,2,2,1.5155539512634277,5,3,3.7888848781585693,NA
Eintracht Frankfurt,2015,formation,4-2-3-1,129,10,11.389332515187562,130,14,14.764810621738434,1090
Eintracht Frankfurt,2015,formation,4-1-2-1-2,73,8,8.503707924857736,59,6,6.096163641195744,458
Eintracht Frankfurt,2015,formation,4-4-2,46,10,6.817135399207473,52,7,7.183619757182896,372
Eintracht Frankfurt,2015,formation,4-1-4-1,33,2,2.044512504711747,49,10,9.493583318777382,319
